sentence,dataset_id,llm_flag
"A global database of vertical profiles derived from Biogeochemical Argo float measurements for biogeochemical and bio-optical applications M Barbieux 10.17882/49388 SEANOE 2017 Barbieux, M. et al.",https://doi.org/10.17882/49388,yes
"(2017), A global database of vertical profiles derived from Biogeochemical Argo float measurements for biogeochemical and bio-optical applications, SEANOE, doi:doi:10.17882/49388.",https://doi.org/10.17882/49388,yes
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
Technical support issues arising from supporting information (other than missing files) should be addressed to the authors.,Missing,no
DATA ACCESSIBILITY The dataset supporting this article are available in Dryad https://doi.org/10.5061/dryad.r6nq870 Supporting information Click here for additional data file.,https://doi.org/10.5061/dryad.r6nq870,yes
"DATA AVAILABILITY DNA sequences: GenBank MK838494 to MK838511; phyluce https://doi.org/10.5061/dryad.2f62927 https://github.com/laninsky/comparing_monolithic_UCE_fastas https://github.com/laninsky/reference_aligning_to_established_loci/tree/master/phase_target https://github.com/laninsky/distance_calcs https://github.com/laninsky/reference_aligning_to_established_loci/tree/master/phase_everyone REFERENCES Alexander A. M. Su Y. C. Oliveros C. H. Olson K. V. Travers S. L. Brown R. M. 2017 Genomic data reveals potential for hybridization, introgression, and incomplete lineage sorting to confound phylogenetic relationships in an adaptive radiation of narrow‐mouth frogs Evolution 71 2 475 488 10.1111/evo.13133 27886369 Baca S. M. Alexander A. Gustafson G. T. Short A. E. Z.",https://doi.org/10.5061/dryad.2f62927,yes
DATA AVAILABILITY STATEMENT Data are available at Dryad Digital Repository at: https://doi.org/10.5061/dryad.zw3r22854 REFERENCES Ahern A. Gómez‐gutiérrez J. Aburto‐oropeza O. Saldierna‐martínez R. J. Johnson A. F. Harada A. E. Burton R. S. 2018 DNA sequencing of fish eggs and larvae reveals high species diversity and seasonal changes in spawning activity in the southeastern Gulf of California Marine Ecology Progress Series 592 159 179 Alstrom E. H. Moser H. G. 1976 Eggs and larvae of fishes and their role in systematic investigations in fisheries Revue Des Travaux De L'institut Des Pêches Maritimes 40 3–4 379 398 Amend A. S. Seifert K. A. Bruns T. D. 2010 Quantifying microbial communities with 454 pyrosequencing: Does read abundance count?,https://doi.org/10.5061/dryad.zw3r22854,yes
